,NU_ANO,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
1418,2019,F,1,3,1,2,2,1.0,2509339.0,Matinhas,PB,361.7,500.2,493.9,487.0,840.0
1419,2019,M,1,1,1,2,2,1.0,2504306.0,Catolé do Rocha,PB,662.0,638.7,619.4,763.4,880.0
1420,2019,M,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,369.7,445.9,391.7,404.7,620.0
1421,2019,F,1,3,1,2,2,1.0,2506905.0,Itabaiana,PB,488.0,514.6,571.5,666.9,720.0
1422,2019,M,1,3,1,2,2,1.0,2512705.0,Remígio,PB,574.7,615.5,630.1,766.1,640.0
1423,2019,F,1,3,1,2,2,1.0,2506400.0,Gurinhém,PB,454.3,480.7,460.7,502.7,300.0
1424,2019,M,2,4,1,2,2,1.0,2508901.0,Mamanguape,PB,406.6,425.5,463.5,382.5,540.0
1425,2019,F,1,1,1,2,2,1.0,2504009.0,Campina Grande,PB,395.4,488.5,533.7,413.2,600.0
1426,2019,F,1,4,1,2,2,1.0,2507507.0,João Pessoa,PB,491.7,497.2,531.3,446.1,640.0
1427,2019,M,1,3,1,2,2,1.0,2511301.0,Piancó,PB,530.7,660.4,598.5,549.7,900.0
1428,2019,F,1,3,1,2,2,1.0,2504306.0,Catolé do Rocha,PB,541.1,541.0,550.3,611.4,680.0
1429,2019,F,1,3,1,2,2,1.0,2515302.0,Sapé,PB,474.9,470.4,531.9,506.0,460.0
1430,2019,F,1,3,1,2,2,1.0,2507002.0,Itaporanga,PB,345.1,405.0,411.5,444.6,400.0
1431,2019,F,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,338.4,476.0,482.9,416.7,580.0
1432,2019,F,1,3,1,2,2,1.0,2510105.0,Nova Floresta,PB,442.8,452.2,515.2,403.3,660.0
1433,2019,F,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,447.6,394.6,428.3,392.9,460.0
1434,2019,M,1,1,1,2,2,1.0,2504009.0,Campina Grande,PB,512.5,588.4,521.1,734.9,900.0
1435,2019,M,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,455.1,524.8,538.3,440.8,440.0
1436,2019,F,1,1,1,2,2,1.0,2506905.0,Itabaiana,PB,467.1,386.3,419.2,409.7,580.0
1437,2019,F,1,1,1,2,2,1.0,2511103.0,Pedra Lavrada,PB,501.7,567.6,553.3,557.6,800.0
1438,2019,F,1,2,1,2,2,1.0,2507507.0,João Pessoa,PB,492.3,502.1,543.8,411.5,520.0
1439,2019,M,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,388.2,409.9,433.0,370.9,280.0
1440,2019,M,1,3,1,2,2,1.0,2511301.0,Piancó,PB,514.7,591.8,486.6,568.4,720.0
1441,2019,F,1,1,1,2,2,1.0,2504009.0,Campina Grande,PB,464.9,519.2,529.1,459.2,620.0
1442,2019,F,1,1,1,2,2,1.0,2511400.0,Picuí,PB,546.3,459.3,523.3,463.5,820.0
1443,2019,F,1,3,1,2,2,1.0,2511400.0,Picuí,PB,453.6,485.6,481.1,467.6,560.0
1444,2019,F,1,3,1,2,2,1.0,2513703.0,Santa Rita,PB,401.3,543.3,529.9,508.4,700.0
1445,2019,M,1,1,1,2,2,1.0,2508901.0,Mamanguape,PB,467.8,501.1,518.2,576.4,740.0
1446,2019,M,2,3,1,2,2,1.0,2507507.0,João Pessoa,PB,391.3,398.1,428.4,397.4,500.0
1447,2019,M,1,4,1,2,2,1.0,2511400.0,Picuí,PB,626.9,706.9,630.5,764.1,940.0
1448,2019,M,1,3,1,2,2,1.0,2515302.0,Sapé,PB,555.8,570.0,588.0,594.3,600.0
1449,2019,F,1,3,1,2,2,1.0,2505279.0,Curral de Cima,PB,479.1,468.3,499.5,472.3,500.0
1450,2019,F,1,3,1,2,2,1.0,2506301.0,Guarabira,PB,377.6,419.6,440.8,492.2,520.0
1451,2019,F,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,527.6,632.9,555.9,535.1,840.0
